"Series";"Time";"Value"
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:44:45-03:00";0.059
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:45:15-03:00";0.053
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:45:45-03:00";0.052
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:46:15-03:00";0.062
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:46:45-03:00";0.059
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:47:15-03:00";0.071
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:47:45-03:00";0.057
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:48:15-03:00";0.058
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:48:45-03:00";0.055
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:49:15-03:00";0.063
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:49:45-03:00";0.051
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:50:15-03:00";0.05
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:50:45-03:00";0.062
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:51:15-03:00";0.056
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:51:45-03:00";0.052
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:52:15-03:00";0.059
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:52:45-03:00";0.058
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:53:15-03:00";0.057
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:53:45-03:00";0.054
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:54:16-03:00";0.055
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:54:46-03:00";0.064
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:55:16-03:00";0.056
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:55:46-03:00";0.05
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:56:16-03:00";0.057
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:56:46-03:00";0.05
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:57:16-03:00";0.051
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:57:46-03:00";0.053
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:58:16-03:00";0.063
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:58:46-03:00";0.053
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:59:16-03:00";0.067
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T00:59:46-03:00";0.058
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:00:16-03:00";0.062
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:00:46-03:00";0.069
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:01:16-03:00";0.068
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:01:46-03:00";0.066
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:02:16-03:00";0.067
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:02:46-03:00";0.065
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:03:16-03:00";0.057
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:03:46-03:00";0.062
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:04:16-03:00";0.074
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:04:46-03:00";0.071
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:05:16-03:00";0.071
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:05:46-03:00";0.082
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:06:16-03:00";0.07
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:06:46-03:00";0.064
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:07:16-03:00";0.071
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:07:46-03:00";0.066
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:08:16-03:00";0.072
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:08:46-03:00";0.062
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:09:16-03:00";0.052
"TEL.NAOMI.WFS.RMS_AT1";"2023-10-21T01:09:46-03:00";0.053
