"Series";"Time";"Value"
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:44:45-03:00";4,479.35
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:45:15-03:00";4,528.987
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:45:45-03:00";4,549.719
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:46:15-03:00";4,557.611
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:46:45-03:00";4,485.75
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:47:15-03:00";4,304.16
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:47:45-03:00";4,469.133
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:48:15-03:00";4,521.441
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:48:45-03:00";4,460.796
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:49:15-03:00";4,449.655
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:49:45-03:00";4,588.917
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:50:15-03:00";4,544.138
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:50:45-03:00";4,360.38
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:51:15-03:00";4,501.755
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:51:45-03:00";4,512.918
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:52:15-03:00";4,387.24
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:52:45-03:00";4,499.103
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:53:15-03:00";4,501.454
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:53:45-03:00";4,524.246
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:54:16-03:00";4,512.973
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:54:46-03:00";4,478.233
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:55:16-03:00";4,556.986
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:55:46-03:00";4,523.142
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:56:16-03:00";4,468.429
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:56:46-03:00";4,446.836
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:57:16-03:00";4,477.703
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:57:46-03:00";4,441.094
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:58:16-03:00";4,394.288
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:58:46-03:00";4,476.07
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:59:16-03:00";4,395.199
"TEL.NAOMI.FLUX_AT1";"2023-10-21T00:59:46-03:00";4,452.146
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:00:16-03:00";4,481.798
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:00:46-03:00";4,486.499
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:01:16-03:00";4,452.872
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:01:46-03:00";4,553.337
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:02:16-03:00";4,456.984
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:02:46-03:00";4,353.078
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:03:16-03:00";4,427.935
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:03:46-03:00";4,438.482
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:04:16-03:00";4,455.159
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:04:46-03:00";4,530.47
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:05:16-03:00";4,434.849
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:05:46-03:00";4,476.848
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:06:16-03:00";4,400.809
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:06:46-03:00";4,472.802
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:07:16-03:00";4,358.903
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:07:46-03:00";4,404.139
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:08:16-03:00";4,468.813
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:08:46-03:00";4,523.589
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:09:16-03:00";4,490.457
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:09:46-03:00";4,409.377
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:10:16-03:00";4,431.698
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:10:46-03:00";4,410.093
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:11:16-03:00";4,473.606
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:11:46-03:00";4,392.35
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:12:16-03:00";4,505.112
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:12:46-03:00";4,364.237
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:13:16-03:00";4,324.6
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:13:46-03:00";4,424.927
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:14:16-03:00";4,346.701
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:14:46-03:00";4,402.058
"TEL.NAOMI.FLUX_AT1";"2023-10-21T01:15:16-03:00";4,355.451
